Currency,Date,Description,Amount,Fees,Price,Pair,Other Currency,Other Amount,IBAN,Transaction Hash,Additional Info
EUR,2019-08-05 10:17:04.163 ,Order 9299c57368fb4f00,-1494.4,0.00,0.0410009,XCM/EUR,XCM,36448.0,,,
XCM,2019-08-05 10:17:04.162 ,Order 9299c57368fb4f00,36461.567962500005,-13.7,0.0410010,XCM/EUR,EUR,-1494.96,,,
XCM,2019-08-05 08:16:24.143 ,Order 9105f8c6c0057c52,40015,-15.0,0.0440000,XCM/EUR,EUR,-1760.66,,,
EUR,2019-08-05 08:16:24.143 ,Order 9105f8c6c0057c52,-1760,0.00,0.0439999,XCM/EUR,XCM,40000.1,,,
XCM,2019-08-05 07:14:50.497 ,Order 0abd66267e01a0dd,40016,-16.0,0.0442000,XCM/EUR,EUR,-1768.71,,,
EUR,2019-08-05 07:14:50.497 ,Order 0abd66267e01a0dd,-1768,0.00,0.0442001,XCM/EUR,XCM,39999.9,,,
XCM,2019-08-04 19:35:30.786 ,Order 169d171a9e3adfd3,40016,-16.0,0.0451900,XCM/EUR,EUR,-1808.32,,,
EUR,2019-08-04 19:35:30.786 ,Order 169d171a9e3adfd3,-1807.6,0.00,0.0451900,XCM/EUR,XCM,40000.0,,,
XCM,2019-08-03 09:48:14.920 ,Order 2f8944452cb01c5b,10000,0.00,0.0430000,XCM/EUR,EUR,-430.00,,,
EUR,2019-08-03 09:48:14.920 ,Order 2f8944452cb01c5b,-430,0.00,0.0430000,XCM/EUR,XCM,10000.0,,,
XCM,2019-08-03 09:47:27.501 ,Order d8b4879b9dcc6f7a,10000,0.00,0.0430000,XCM/EUR,EUR,-430.00,,,
EUR,2019-08-03 09:47:27.501 ,Order d8b4879b9dcc6f7a,-430,0.00,0.0430000,XCM/EUR,XCM,10000.0,,,
XCM,2019-08-03 09:46:36.708 ,Order 0bf5440d81eb6046,10000,0.00,0.0430000,XCM/EUR,EUR,-430.00,,,
EUR,2019-08-03 09:46:36.708 ,Order 0bf5440d81eb6046,-430,0.00,0.0430000,XCM/EUR,XCM,10000.0,,,
XCM,2019-08-03 09:45:40.678 ,Order d7db81e80f87c467,10000,0.00,0.0430000,XCM/EUR,EUR,-430.00,,,
